ProbeID,PrimaryAccession,RefSeqAccession,GenbankAccession,UniGeneID,EntrezGeneID,GeneSymbol,GeneName,EnsemblID,TIGRID,GO,Description,GenomicCoordinates,Cytoband
A_01_P012772,ENSMMUT00000039813.3,XM_015143833,JU327440,Mmu.9833,704356,PRKCH,protein kinase C eta,ENSMMUT00000039813.3,,,protein kinase C eta [Source:VGNC Symbol;Acc:VGNC:84424] [ENSMMUT00000039813.3],chr7:124548851-124548910,
A_01_P008037,XR_003729044,XR_003729044,XR_003729044,,100424938,ZSCAN12,zinc finger and SCAN domain containing 12,,,,"PREDICTED: Macaca mulatta zinc finger and SCAN domain containing 12 (ZSCAN12), transcript variant X4, misc_RNA [XR_003729044]",chr4:28111142-28111083,
A_01_P004106,NM_001261105,NM_001261105,NM_001261105,Mmu.1607,703596,PSMD10,"proteasome 26S subunit, non-ATPase 10",,,,"Macaca mulatta proteasome 26S subunit, non-ATPase 10 (PSMD10), mRNA [NM_001261105]",chrX:106801289-106801230,
A_01_P016207,ENSMMUT00000070259.2,XM_015119638,XM_015119638,,,,,ENSMMUT00000070259.2,,,keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423] [ENSMMUT00000070259.2],chr16:51605685-51605627,
A_01_P008611,JV632063,XM_015129921,JV632063,Mmu.19657,,,,,,,TSA: Macaca mulatta Mamu_192430 mRNA sequence. [JV632063],chr1:23473093-23473034,
A_01_P013193,XM_015139663,XM_015139663,XM_015139663,,707731,TRIML2,tripartite motif family like 2,,,,"PREDICTED: Macaca mulatta tripartite motif family like 2 (TRIML2), mRNA [XM_015139663]",chr5:180231870-180231811,
A_01_P007843,ENSMMUT00000094935.1,XM_028842585,JU470844,Mmu.31017,705657,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,ENSMMUT00000094935.1,,,phosphatidylinositol glycan anchor biosynthesis class C [Source:VGNC Symbol;Acc:VGNC:75986] [ENSMMUT00000094935.1],chr1:202132523-202132464,
A_01_P005858,NM_001261674,NM_001261674,NM_001261674,Mmu.21683,700567,RERG,RAS like estrogen regulated growth inhibitor,ENSMMUT00000014630.4,,,"Macaca mulatta RAS like estrogen regulated growth inhibitor (RERG), mRNA [NM_001261674]",chr11:15496016-15495957,
A_01_P002669,ENSMMUT00000084113.1,XM_015131753,JV651879,Mmu.21762,707667,MME,membrane metalloendopeptidase,ENSMMUT00000084113.1,,,membrane metalloendopeptidase [Source:VGNC Symbol;Acc:VGNC:74886] [ENSMMUT00000084113.1],chr2:132502673-132502614,
A_01_P014612,JV455428,,JV455428,Mmu.19897,,,,,,,TSA: Macaca mulatta Mamu_70749 mRNA sequence. [JV455428],chr9:119570121-119570180,
A_01_P000080,ENSMMUT00000016069.4,XM_015149531,JV058039,Mmu.4209,698897,SNX5,sorting nexin 5,ENSMMUT00000016069.4,,,sorting nexin 5 [Source:VGNC Symbol;Acc:VGNC:98451] [ENSMMUT00000016069.4],chr10:51263889-51263832,
A_01_P017626,NM_001193740,NM_001193740,NM_001193740,Mmu.18944,695947,SGMS2,sphingomyelin synthase 2,ENSMMUT00000103881.1,,,"Macaca mulatta sphingomyelin synthase 2 (SGMS2), mRNA [NM_001193740]",chr5:100843810-100843869,
A_01_P017892,ENSMMUT00000088150.1,XM_015115880,JV535259,Mmu.812,701441,DDX6,DEAD-box helicase 6,ENSMMUT00000088150.1,,,DEAD-box helicase 6 [Source:VGNC Symbol;Acc:VGNC:71764] [ENSMMUT00000088150.1],chr14:117145059-117145000,
A_01_P007402,JV679083,XM_002808294,JV679083,Mmu.29163,,,,,,,TSA: Macaca mulatta Mamu_302555 mRNA sequence. [JV679083],chr20:27877957-27878016,
A_01_P001359,NM_001042658,NM_001042658,NM_001042658,Mmu.3674,718968,CD1E,CD1e molecule,ENSMMUT00000045607.3,,,"Macaca mulatta CD1e molecule (CD1E), mRNA [NM_001042658]",chr1:136915176-136915235,
A_01_P017442,,,,,,,,,,,,,
A_01_P003982,ENSMMUT00000030255.4,XM_028834615,XM_028834615,,711729,GLT6D1,glycosyltransferase 6 domain containing 1,ENSMMUT00000030255.4,,,glycosyltransferase 6 domain containing 1 [Source:VGNC Symbol;Acc:VGNC:72989] [ENSMMUT00000030255.4],chr15:2694064-2694123,
A_01_P001052,JV495604,XM_028850793,JV495604,Mmu.28807,,,,,,,TSA: Macaca mulatta Mamu_17242 mRNA sequence. [JV495604],chr7:21215078-21215019,
A_01_P016536,ENSMMUT00000106291.1,XM_015144827,JV552232,Mmu.10535,702990,MTUS1,microtubule associated scaffold protein 1,ENSMMUT00000106291.1,,,microtubule associated scaffold protein 1 [Source:VGNC Symbol;Acc:VGNC:84018] [ENSMMUT00000106291.1],chr8:17531013-17530954,
A_01_P011562,,,,,,,,,,,,chr19:003590580-003590521,
A_01_P013977,ENSMMUT00000110283.1,XM_028827630,JV453139,Mmu.29859,714668,TTLL1,TTL family tubulin polyglutamylase complex subunit L1,ENSMMUT00000110283.1,,,TTL family tubulin polyglutamylase complex subunit L1 [Source:VGNC Symbol;Acc:VGNC:78903] [ENSMMUT00000110283.1],chr10:87033870-87033811,
A_01_P008207,ENSMMUT00000069187.2,XM_015135734,JV505596,Mmu.30889,716851,INPP5B,inositol polyphosphate-5-phosphatase B,ENSMMUT00000069187.2,,,inositol polyphosphate-5-phosphatase B [Source:VGNC Symbol;Acc:VGNC:73750] [ENSMMUT00000069187.2],chr1:40732165-40732106,
A_01_P013150,,,,,,,,,,,,chr7:002801589-002801648,
A_01_P008026,ENSMMUT00000103639.1,XM_015133696,XM_002803315,Mmu.23970,705700,GPR141,G protein-coupled receptor 141,ENSMMUT00000103639.1,,,G protein-coupled receptor 141 [Source:VGNC Symbol;Acc:VGNC:81323] [ENSMMUT00000103639.1],chr3:88521200-88521141,
A_01_P015858,,,,,,,,,,,,,
A_01_P015554,ENSMMUT00000097355.1,,,,714760,POU5F1,POU class 5 homeobox 1,ENSMMUT00000097355.1,,,POU class 5 homeobox 1 [Source:NCBI gene (formerly Entrezgene);Acc:714760] [ENSMMUT00000097355.1],chr4:30733354-30733295,
A_01_P015350,ENSMMUT00000096154.1,XM_015132562,JU332439,Mmu.9855,711655,TNK2,tyrosine kinase non receptor 2,ENSMMUT00000096154.1,,,tyrosine kinase non receptor 2 [Source:VGNC Symbol;Acc:VGNC:79192] [ENSMMUT00000096154.1],chr2:189580543-189580602,
A_01_P018793,JV725890,XM_002804156,JV725890,Mmu.28894,,,,,,,TSA: Macaca mulatta Mamu_543501 mRNA sequence. [JV725890],chr5:88133753-88133694,
A_01_P007550,NM_001266482,NM_001266482,NM_001266482,Mmu.2499,698066,UNC119B,unc-119 lipid binding chaperone B,ENSMMUT00000096124.1,,,"Macaca mulatta unc-119 lipid binding chaperone B (UNC119B), mRNA [NM_001266482]",chr11:121759249-121759308,
A_01_P015267,JU481860,XM_015121427,JU481860,Mmu.25831,,,,,,,TSA: Macaca mulatta Mamu_386292 mRNA sequence. [JU481860],chr17:86683226-86683167,
A_01_P002838,NM_001194485,NM_001194485,NM_001194485,Mmu.18859,714375,CD248,CD248 molecule,ENSMMUT00000022475.4,,,"Macaca mulatta CD248 molecule (CD248), mRNA [NM_001194485]",chr14:8137288-8137347,
A_01_P002318,ENSMMUT00000110021.1,XM_015123117,JV700418,Mmu.24354,709635,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor",ENSMMUT00000110021.1,,,"SEC16 homolog B, endoplasmic reticulum export factor [Source:VGNC Symbol;Acc:VGNC:100136] [ENSMMUT00000110021.1]",chr1:207512140-207512081,
A_01_P017714,,,,,,,,,,,,chr3:000596823-000596882,
A_01_P003676,NM_001265901,NM_001265901,NM_001265901,Mmu.21615,694184,JAK2,Janus kinase 2,ENSMMUT00000094777.1,,,"Macaca mulatta Janus kinase 2 (JAK2), mRNA [NM_001265901]",chr15:72080956-72080897,
A_01_P010457,ENSMMUT00000024795.3,XM_015127470,JV567192,Mmu.34299,704260,RRAGB,Ras related GTP binding B,ENSMMUT00000024795.3,,,Ras related GTP binding B [Source:VGNC Symbol;Acc:VGNC:77059] [ENSMMUT00000024795.3],chrX:54313265-54313324,
A_01_P007228,ENSMMUT00000090823.1,XM_001102495,JV596560,Mmu.26561,706053,SLC43A1,solute carrier family 43 member 1,ENSMMUT00000090823.1,,,solute carrier family 43 member 1 [Source:VGNC Symbol;Acc:VGNC:77596] [ENSMMUT00000090823.1],chr14:15931522-15931581,
A_01_P005206,ENSMMUT00000080584.1,XM_015111965,JV681831,Mmu.20256,700067,GTF3C2,general transcription factor IIIC subunit 2,ENSMMUT00000080584.1,,,ral transcription factor IIIC subunit 2 [Source:VGNC Symbol;Acc:VGNC:82153] [ENSMMUT00000080584.1],chr13:27296699-27296640,
A_01_P014681,ENSMMUT00000038529.3,XM_015123842,JV562325,Mmu.22993,719551,YIF1B,"Yip1 interacting factor homolog B, membrane trafficking protein",ENSMMUT00000038529.3,,,"Yip1 interacting factor homolog B, membrane trafficking protein [Source:VGNC Symbol;Acc:VGNC:79852] [ENSMMUT00000038529.3]",chr19:44634452-44634393,
A_01_P004463,JU334579,XM_015115484,JU334579,Mmu.21699,697566,MRE11,"MRE11 homolog, double strand break repair nuclease",,,,TSA: Macaca mulatta Mamu_507708 mRNA sequence. [JU334579],chr14:92963282-92963223,
A_01_P002277,ENSMMUT00000055642.2,XM_015126839,JV602628,Mmu.25091,698977,TCF25,transcription factor 25,ENSMMUT00000055642.2,,,transcription factor 25 [Source:VGNC Symbol;Acc:VGNC:99607] [ENSMMUT00000055642.2],chr20:88034349-88034408,
A_01_P005600,JV509661,XM_015115269,JV509661,Mmu.20026,,,,,,,TSA: Macaca mulatta Mamu_1018 mRNA sequence. [JV509661],chr14:75862694-75862635,
A_01_P015483,JV726967,XM_028849960,JV726967,Mmu.28116,,,,,,,TSA: Macaca mulatta Mamu_551189 mRNA sequence. [JV726967],chr6:174020960-174020901,
A_01_P015340,JV466385,XM_015138095,JV466385,Mmu.32612,,,,,,,TSA: Macaca mulatta Mamu_61283 mRNA sequence. [JV466385],chr5:20176890-20176949,
A_01_P002316,JU487536,XM_001095275,JU487536,Mmu.27364,706866,PAX1,paired box 1,,,,TSA: Macaca mulatta Mamu_362408 mRNA sequence. [JU487536],chr10:55026744-55026803,
A_01_P003123,ENSMMUT00000096372.1,XM_028853362,JV571912,Mmu.19949,702200,CACUL1,CDK2 associated cullin domain 1,ENSMMUT00000096372.1,,,CDK2 associated cullin domain 1 [Source:VGNC Symbol;Acc:VGNC:70616] [ENSMMUT00000096372.1],chr9:118307435-118307376,
A_01_P001344,NM_001194893,NM_001194893,NM_001194893,Mmu.19262,100428001,PIP4P1,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1",ENSMMUT00000106955.1,,,"Macaca mulatta phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 (PIP4P1), mRNA [NM_001194893]",chr7:83162658-83162599,
A_01_P003371,ENSMMUT00000024974.4,XM_015146779,JV683025,Mmu.1997,574312,ITGB1,integrin subunit beta 1,ENSMMUT00000024974.4,,,integrin subunit beta 1 [Source:VGNC Symbol;Acc:VGNC:73784] [ENSMMUT00000024974.4],chr9:33088669-33088610,
A_01_P015410,ENSMMUT00000084537.1,XM_015135008,XM_015135008,,715492,ATP6V0A4,ATPase H+ transporting V0 subunit a4,ENSMMUT00000084537.1,,,ATPase H+ transporting V0 subunit a4 [Source:VGNC Symbol;Acc:VGNC:70189] [ENSMMUT00000084537.1],chr3:176190459-176190400,
A_01_P019697,XM_015123080,XM_015123080,XM_015123080,,613251,PTGER1,prostaglandin E receptor 1,,,,"PREDICTED: Macaca mulatta prostaglandin E receptor 1 (PTGER1), transcript variant X1, mRNA [XM_015123080]",chr19:14181756-14181697,
A_01_P005450,JV500943,,JV500943,Mmu.34100,,,,,,,TSA: Macaca mulatta Mamu_46162 mRNA sequence. [JV500943],chr20:73642800-73642741,
A_01_P003310,JV606171,,JV606171,Mmu.28140,,,,,,,TSA: Macaca mulatta Mamu_216945 mRNA sequence. [JV606171],chr6:154173571-154173630,
A_01_P019363,ENSMMUT00000016213.4,,JU349482,Mmu.21396,694299,CAVIN2,caveolae associated protein 2,ENSMMUT00000016213.4,,,caveolae associated protein 2 [Source:VGNC Symbol;Acc:VGNC:70469] [ENSMMUT00000016213.4],chr12:55582511-55582452,
A_01_P018971,ENSMMUT00000017592.4,XM_001105053,XM_001105053,,707576,TBX20,T-box transcription factor 20,ENSMMUT00000017592.4,,,T-box transcription factor 20 [Source:VGNC Symbol;Acc:VGNC:78270] [ENSMMUT00000017592.4],chr3:90930546-90957429,
A_01_P018275,ENSMMUT00000027611.4,XM_015143289,JV637986,Mmu.28479,713511,SLC7A8,solute carrier family 7 member 8,ENSMMUT00000027611.4,,,solute carrier family 7 member 8 [Source:VGNC Symbol;Acc:VGNC:77632] [ENSMMUT00000027611.4],chr7:85955888-85955829,
A_01_P000329,ENSMMUT00000078562.2,XM_028842402,JV612006,Mmu.22020,707630,TAB3,TGF-beta activated kinase 1 (MAP3K7) binding protein 3,ENSMMUT00000078562.2,,,TGF-beta activated kinase 1 (MAP3K7) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681] [ENSMMUT00000078562.2],chrX:28707066-28707007,
A_01_P003112,ENSMMUT00000103986.1,XM_015120643,JV665241,Mmu.2713,715842,SLC16A3,solute carrier family 16 member 3,ENSMMUT00000103986.1,,,solute carrier family 16 member 3 [Source:VGNC Symbol;Acc:VGNC:77397] [ENSMMUT00000103986.1],chr16:77719869-77719928,
A_01_P010227,,,,,,,,,,,,chr4:032511024-032510965,
A_01_P018278,JV720180,,JV720180,Mmu.32643,722216,PWP2,PWP2 small subunit processome component,,,,TSA: Macaca mulatta Mamu_577672 mRNA sequence. [JV720180],chr3:2583796-2583737,
A_01_P010179,,,,,,,,,,,,chr19:001022994-001022935,
A_01_P007127,ENSMMUT00000082866.1,XM_001104666,JV478560,Mmu.22422,707656,SUSD1,sushi domain containing 1,ENSMMUT00000082866.1,,,sushi domain containing 1 [Source:VGNC Symbol;Acc:VGNC:78207] [ENSMMUT00000082866.1],chr15:24070825-24070884,
A_01_P007824,,,,,,,,,,,,chr9:091382175-091382116,
A_01_P010578,,,,,,,,,,,,chr16:077317013-077316954,
A_01_P009618,ENSMMUT00000000475.4,,JU350778,Mmu.19077,719037,FADS2,fatty acid desaturase 2,ENSMMUT00000000475.4,,,fatty acid desaturase 2 [Source:VGNC Symbol;Acc:VGNC:72472] [ENSMMUT00000000475.4],chr14:12161017-12160958,
A_01_P009564,ENSMMUT00000091034.1,XM_028829716,JV570684,Mmu.11025,717215,RAB3IP,RAB3A interacting protein,ENSMMUT00000091034.1,,,RAB3A interacting protein [Source:HGNC Symbol;Acc:HGNC:16508] [ENSMMUT00000091034.1],chr11:66794171-66794230,
A_01_P019115,NM_001136568,NM_001136568,NM_001136568,Mmu.3165,100192390,PSMD4,"proteasome 26S subunit ubiquitin receptor, non-ATPase 4",ENSMMUT00000011164.4,,,"Macaca mulatta proteasome 26S subunit ubiquitin receptor, non-ATPase 4 (PSMD4), mRNA [NM_001136568]",chr1:129693760-129694016,
A_01_P017783,JV666996,XM_028850571,JV666996,Mmu.3093,,,,,,,TSA: Macaca mulatta Mamu_475289 mRNA sequence. [JV666996],chr1:204567387-204567446,
A_01_P002978,JV661009,XM_015118380,JV661009,Mmu.23435,,,,,,,TSA: Macaca mulatta Mamu_486193 mRNA sequence. [JV661009],chr16:4887386-4887327,
A_01_P006567,NM_001266052,NM_001266052,NM_001266052,Mmu.28477,709044,CINP,cyclin dependent kinase 2 interacting protein,ENSMMUT00000053692.2,,,"Macaca mulatta cyclin dependent kinase 2 interacting protein (CINP), mRNA [NM_001266052]",chr7:165636019-165635960,
A_01_P000297,XM_028830403,XM_028830403,XM_028830403,,695516,PTPN4,protein tyrosine phosphatase non-receptor type 4,,,,"PREDICTED: Macaca mulatta protein tyrosine phosphatase non-receptor type 4 (PTPN4), transcript variant X1, mRNA [XM_028830403]",chr13:126182292-126182351,
A_01_P014187,XM_015122649,XM_015122649,XM_015122649,,100424335,ADGRE1,adhesion G protein-coupled receptor E1,,,,"PREDICTED: Macaca mulatta adhesion G protein-coupled receptor E1 (ADGRE1), mRNA [XM_015122649]",chr19:6826732-6826791,
A_01_P010114,JV513463,XM_001101439,JV513463,Mmu.1194,,,,,,,TSA: Macaca mulatta Mamu_23997 mRNA sequence. [JV513463],chr9:96059465-96059406,
A_01_P014091,NM_001266280,NM_001266280,NM_001266280,Mmu.22730,703939,B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1",ENSMMUT00000093350.1,,,"Macaca mulatta beta-1,3-N-acetylgalactosaminyltransferase 1 (B3GALNT1), mRNA [NM_001266280]",chr2:126614966-126615025,
A_01_P002580,,,,,,,,,,,,chr3:129744132-129744191,
A_01_P004237,ENSMMUT00000084328.1,XM_015137862,JV661317,Mmu.34945,,,,ENSMMUT00000084328.1,,,DNA polymerase nu [Source:VGNC Symbol;Acc:VGNC:76068] [ENSMMUT00000084328.1],chr1:1722517-1722576,
A_01_P006082,,,,,,,,,,,,chr7:166338661-166338600,
A_01_P005981,XM_001082210,XM_015117804,XM_001082210,Mmu.2984,,,,,,,"PREDICTED: Macaca mulatta complement component 4 binding protein, alpha, transcript variant 2 (C4BPA), mRNA [XM_001082210]",chr1:163211195-163211136,
A_01_P000905,ENSMMUT00000008531.4,XM_015150233,JV668089,Mmu.20721,695017,MYH9,myosin heavy chain 9,ENSMMUT00000008531.4,,,myosin heavy chain 9 [Source:VGNC Symbol;Acc:VGNC:75102] [ENSMMUT00000008531.4],chr10:80182364-80182305,
A_01_P010123,ENSMMUT00000096735.1,XM_015147591,JV577143,Mmu.12315,703630,IPMK,inositol polyphosphate multikinase,ENSMMUT00000096735.1,,,inositol polyphosphate multikinase [Source:VGNC Symbol;Acc:VGNC:106064] [ENSMMUT00000096735.1],chr9:79133498-79133557,
A_01_P006641,NM_001260833,NM_001260833,NM_001260833,Mmu.21077,704853,RILPL2,Rab interacting lysosomal protein like 2,ENSMMUT00000099068.1,,,"Macaca mulatta Rab interacting lysosomal protein like 2 (RILPL2), mRNA [NM_001260833]",chr11:124694942-124694883,
A_01_P011897,,,,,,,,,,,,chr4:048043347-048043288,
A_01_P015358,XM_001100359,XM_001100359,XM_001100359,,705544,C1H1orf105,chromosome 1 C1orf105 homolog,,,,"PREDICTED: Macaca mulatta chromosome 1 C1orf105 homolog (C1H1orf105), mRNA [XM_001100359]",chr1:202160024-202160083,
A_01_P015438,ENSMMUT00000097747.1,XM_015115057,XM_015115057,,713982,LOC713982,olfactory receptor 52B6,ENSMMUT00000097747.1,,,olfactory receptor family 52 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:15211] [ENSMMUT00000097747.1],chr14:67777037-67776978,
A_01_P011854,ENSMMUT00000100387.1,XM_001094788,XM_001094788,Mmu.21563,703456,ITGA1,integrin subunit alpha 1,ENSMMUT00000100387.1,,,integrin subunit alpha 1 [Source:VGNC Symbol;Acc:VGNC:73772] [ENSMMUT00000100387.1],chr6:50589119-50589178,
A_01_P015336,ENSMMUT00000003534.4,XM_028849983,XM_028849983,,,,,ENSMMUT00000003534.4,,,zinc finger protein 354C [Source:VGNC Symbol;Acc:VGNC:108152] [ENSMMUT00000003534.4],chr6:175700425-175700484,
A_01_P000112,NM_001193876,NM_001193876,NM_001193876,Mmu.18411,698214,ATOSB,atos homolog B,ENSMMUT00000091411.1,,,"Macaca mulatta atos homolog B (ATOSB), mRNA [NM_001193876]",chr15:42447759-42447818,
A_01_P015592,ENSMMUT00000042733.3,XM_028826745,JV541354,Mmu.20802,707600,R3HCC1L,R3H domain and coiled-coil containing 1 like,ENSMMUT00000042733.3,,,R3H domain and coiled-coil containing 1 like [Source:VGNC Symbol;Acc:VGNC:76524] [ENSMMUT00000042733.3],chr9:97833670-97833729,
A_01_P004723,JV669248,XM_028850113,JV669248,Mmu.2732,707227,LOC707227,"cytochrome c oxidase subunit 5B, mitochondrial",,,,TSA: Macaca mulatta Mamu_320782 mRNA sequence. [JV669248],chr13:97453619-97453678,
A_01_P010749,ENSMMUT00000002758.4,XM_015140962,XM_001110935,Mmu.28199,712366,FBXL21,F-box and leucine rich repeat protein 21,ENSMMUT00000002758.4,,,F-box and leucine rich repeat protein 21 [Source:VGNC Symbol;Acc:VGNC:109075] [ENSMMUT00000002758.4],chr6:132364725-132364784,
A_01_P019748,ENSMMUT00000064406.2,,JV535479,Mmu.25127,,,,ENSMMUT00000064406.2,,,haptoglobin [Source:NCBI gene (formerly Entrezgene);Acc:706640] [ENSMMUT00000064406.2],chr20:70612173-70612114,
A_01_P005340,ENSMMUT00000106560.1,XM_028847883,JV726000,Mmu.22220,,,,ENSMMUT00000106560.1,,,TSA: Macaca mulatta Mamu_581993 mRNA sequence. [JV726000],chr4:2964179-2964237,
A_01_P004559,ENSMMUT00000085832.1,XM_028845063,JV664942,Mmu.21574,716436,BAZ1B,bromodomain adjacent to zinc finger domain 1B,ENSMMUT00000085832.1,,,bromodomain adjacent to zinc finger domain 1B [Source:VGNC Symbol;Acc:VGNC:70231] [ENSMMUT00000085832.1],chr3:50954534-50954475,
A_01_P001158,ENSMMUT00000093833.1,XM_028838406,JV605746,Mmu.10504,703991,ZNF787,zinc finger protein 787,ENSMMUT00000093833.1,,,zinc finger protein 787 [Source:NCBI gene (formerly Entrezgene);Acc:703991] [ENSMMUT00000093833.1],chr19:62094673-62094614,
A_01_P005894,JV607723,XM_015116374,JV607723,Mmu.20894,,,,,,,TSA: Macaca mulatta Mamu_218505 mRNA sequence. [JV607723],chr15:2097155-2097214,
A_01_P014374,,,,,,,,,,,,chr19:006497741-006497686,
A_01_P005127,XM_028831458,XM_028831458,XM_028831458,,700193,IL1A,interleukin 1 alpha,,,,"PREDICTED: Macaca mulatta interleukin 1 alpha (IL1A), transcript variant X1, mRNA [XM_028831458]",chr13:112139472-112139413,
A_01_P004267,ENSMMUT00000092671.1,XM_028849531,JU341986,Mmu.31404,718223,GNG4,G protein subunit gamma 4,ENSMMUT00000092671.1,,,G protein subunit gamma 4 [Source:VGNC Symbol;Acc:VGNC:106372] [ENSMMUT00000092671.1],chr1:221452781-221452840,
A_01_P000244,ENSMMUT00000023246.4,XM_028851934,JV068657,Mmu.11073,706242,INF2,inverted formin 2,ENSMMUT00000023246.4,,,inverted formin 2 [Source:VGNC Symbol;Acc:VGNC:84357] [ENSMMUT00000023246.4],chr7:168102857-168102916,
A_01_P004295,NM_001257815,NM_001257815,NM_001257815,Mmu.32268,709677,GPHN,gephyrin,ENSMMUT00000068471.2,,,"Macaca mulatta gephyrin (GPHN), mRNA [NM_001257815]",chr7:130286009-130286068,
A_01_P009225,JV619889,XM_028829287,JV619889,Mmu.23175,,,,,,,TSA: Macaca mulatta Mamu_211346 mRNA sequence. [JV619889],chr11:19762559-19762618,
A_01_P017684,ENSMMUT00000073866.2,XM_028841043,JV693574,Mmu.23182,722401,LMF1,lipase maturation factor 1,ENSMMUT00000073866.2,,,lipase maturation factor 1 [Source:VGNC Symbol;Acc:VGNC:84516] [ENSMMUT00000073866.2],chr20:837678-837619,
A_01_P002761,XM_015136251,XM_015136251,XM_015136251,,100426726,PXT1,peroxisomal testis enriched protein 1,,,,"PREDICTED: Macaca mulatta peroxisomal testis enriched protein 1 (PXT1), mRNA [XM_015136251]",chr4:36144920-36144861,
A_01_P006228,ENSMMUT00000079713.1,XM_028834655,JV466437,Mmu.26356,722266,OBP2B,odorant binding protein 2B,ENSMMUT00000079713.1,,,TSA: Macaca mulatta Mamu_108430 mRNA sequence. [JV466437],chr15:5420119-5420178,
A_01_P001140,ENSMMUT00000109452.1,XM_015122980,XM_015122980,,106992362,ZNF433,zinc finger protein 433,ENSMMUT00000109452.1,,,zinc finger protein 433 [Source:HGNC Symbol;Acc:HGNC:20811] [ENSMMUT00000109452.1],chr19:11778085-11778026,
A_01_P004153,,,,,,,,,,,,chr19:063239290-063239349,
A_01_P011256,,,,,,,,,,,,chr14:116938684-116938743,
A_01_P003802,ENSMMUT00000059038.2,XM_015130854,JU332729,Mmu.20171,702385,RASSF1,Ras association domain family member 1,ENSMMUT00000059038.2,,,Ras association domain family member 1 [Source:VGNC Symbol;Acc:VGNC:76673] [ENSMMUT00000059038.2],chr2:86085101-86085157,
A_01_P012712,JV672474,XM_015126515,JV672474,Mmu.22929,,,,,,,TSA: Macaca mulatta Mamu_297428 mRNA sequence. [JV672474],chr20:72416401-72416460,
A_01_P005705,XM_015112603,XM_015112603,XM_015112603,,701904,ASPRV1,aspartic peptidase retroviral like 1,,,,"PREDICTED: Macaca mulatta aspartic peptidase retroviral like 1 (ASPRV1), mRNA [XM_015112603]",chr13:70220855-70220796,
A_01_P006752,ENSMMUT00000083053.1,XM_015118261,JV073253,Mmu.26187,707562,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,ENSMMUT00000083053.1,,,calcium/calmodulin dependent protein kinase kinase 1 [Source:VGNC Symbol;Acc:VGNC:99125] [ENSMMUT00000083053.1],chr16:3578563-3578504,
A_01_P016841,ENSMMUT00000042183.3,XM_028835465,JV687138,Mmu.10919,693527,PMP22,peripheral myelin protein 22,ENSMMUT00000042183.3,,,peripheral myelin protein 22 [Source:VGNC Symbol;Acc:VGNC:76194] [ENSMMUT00000042183.3],chr16:14954127-14954068,
A_01_P006668,ENSMMUT00000093231.1,XM_001105861,JU323317,Mmu.20464,,,,ENSMMUT00000093231.1,,,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:NCBI gene (formerly Entrezgene);Acc:703051] [ENSMMUT00000093231.1]",chr1:21914744-21914685,
A_01_P002835,ENSMMUT00000109264.1,XM_001109670,JV585534,Mmu.14100,709428,DPP8,dipeptidyl peptidase 8,ENSMMUT00000109264.1,,,dipeptidyl peptidase 8 [Source:VGNC Symbol;Acc:VGNC:71849] [ENSMMUT00000109264.1],chr7:43936594-43936535,
A_01_P006900,XM_015121181,XM_015121181,XM_015121181,,694190,PIBF1,progesterone immunomodulatory binding factor 1,,,,"PREDICTED: Macaca mulatta progesterone immunomodulatory binding factor 1 (PIBF1), transcript variant X1, mRNA [XM_015121181]",chr17:53468525-53468584,
A_01_P012632,ENSMMUT00000047656.3,XM_028841308,JV518942,Mmu.24787,703046,CDK11B,cyclin dependent kinase 11B,ENSMMUT00000047656.3,,,TSA: Macaca mulatta Mamu_9591 mRNA sequence. [JV518942],chr1:4698342-4698283,
A_01_P019106,XM_028830424,XM_028830424,XM_028830424,,705382,CHIA,chitinase acidic,,,,"PREDICTED: Macaca mulatta chitinase acidic (CHIA), mRNA [XM_028830424]",chr1:114343934-114343993,
A_01_P002474,JV645446,XM_001108934,JV645446,Mmu.26150,,,,,,,TSA: Macaca mulatta Mamu_489785 mRNA sequence. [JV645446],chr16:7172841-7172900,
A_01_P004497,ENSMMUT00000007976.4,XM_001102527,JU326586,Mmu.22336,706749,CEP43,centrosomal protein 43,ENSMMUT00000007976.4,,,centrosomal protein 43 [Source:VGNC Symbol;Acc:VGNC:72519] [ENSMMUT00000007976.4],chr4:163992567-163992626,
A_01_P013492,JV655423,,JV655423,Mmu.27543,707201,PI4K2A,phosphatidylinositol 4-kinase type 2 alpha,,,,TSA: Macaca mulatta Mamu_468410 mRNA sequence. [JV655423],chr9:97261678-97261737,
A_01_P013289,ENSMMUT00000045318.3,XM_015110124,JV689317,Mmu.9952,696668,PRPF40A,pre-mRNA processing factor 40 homolog A,ENSMMUT00000045318.3,,,pre-mRNA processing factor 40 homolog A [Source:VGNC Symbol;Acc:VGNC:76266] [ENSMMUT00000045318.3],chr12:16306869-16306810,
